"V1","V2","V3","V4","V5"
2.09e-05,1.33e-05,1.2e-05,3.33e-05,1.55533e-05
1.44e-05,1.29e-05,1.38e-05,1.24e-05,1.222e-05
1.6e-05,1.29e-05,3.44e-05,1.49e-05,1.99978e-05
2.53e-05,1.42e-05,1.2e-05,1.29e-05,1.19978e-05
3.29e-05,2.51e-05,2.11e-05,4.8e-05,0.000114664
3.49e-05,3.2e-05,0.00041,NA,0.000140664
3.04e-05,3.69e-05,0.000162,0.000181,0.000309553
4.62e-05,4.98e-05,6.29e-05,8.84e-05,0.000686442
4.87e-05,6.53e-05,3.4e-05,0.000203,0.000621331
5.64e-05,4.56e-05,3.18e-05,0.000564,0.000127776
2e-05,1.91e-05,1.2e-05,0.000392,NA
1.58e-05,1.2e-05,1.22e-05,6.82e-05,NA
